10-21 17:25:03.781   32547-32547   C04209/org.map...rmony/WMSImms  apppool               I     [] SetSpecificBarProperty(2255): windowId:45 harmony0 type:2108, 1 ffffff ff000000 0 4
10-21 17:25:03.781   32547-32547   C04200/org.map...e.harmony/WMS  apppool               I     [] IsMainHandlerAvailable(369): id:45, isAvailable:1
10-21 17:25:03.781   32547-32547   C04200/org.map...e.harmony/WMS  apppool               I     [] IsMainHandlerAvailable(369): id:45, isAvailable:1
10-21 17:25:03.781   32547-32547   C02800/org.map...utManagerImpl  apppool               I     [][SetWindowInputEventConsumer:342] enter
10-21 17:25:03.782   32547-32547   C02801/org.map...tConnectProxy  apppool               I     [][MultimodalInputConnectProxy:98] Construct MMI proxy
10-21 17:25:03.782   32547-32547   C02801/org.map...onnectManager  apppool               I     [][ConnectMultimodalInputService:546] Get multimodalinput service successful
10-21 17:25:03.783   32547-32547   C02800/org.map...ony/MMIClient  apppool               I     [][OnConnected:256] Connection to server succeeded, fd:67
10-21 17:25:03.783   32547-32547   C02800/org.map...utManagerImpl  apppool               I     [][OnConnected:1492] enter
10-21 17:25:03.783   32547-32547   C02800/org.map...utManagerImpl  apppool               I     [][ReAddInputEventFilter:1662] enter
10-21 17:25:03.783   32547-32547   C02800/org.map...utManagerImpl  apppool               I     [][ReAddInputEventFilter] leave
10-21 17:25:03.783   32547-32547   C02800/org.map...utManagerImpl  apppool               I     [][PackEnhanceConfig:618] enter
10-21 17:25:03.783   32547-32547   C02800/org.map...utManagerImpl  apppool               E     [][PackEnhanceConfig:619] CHKPR(enhanceCfg_) is null, return value is -1
10-21 17:25:03.783   32547-32547   C02800/org.map...utManagerImpl  apppool               I     [][PackEnhanceConfig] leave
10-21 17:25:03.783   32547-32547   C02800/org.map...utManagerImpl  apppool               E     [][PrintEnhanceConfig:881] CHKPV(enhanceCfg_) is null
10-21 17:25:03.783   32547-32547   C02800/org.map...utManagerImpl  apppool               I     [][OnConnected] leave
10-21 17:25:03.783   32547-32547   C02800/org.map...andlerManager  apppool               I     [][OnConnected:644] Reregister gesture monitors on reconnection
10-21 17:25:03.783   32547-32547   C02800/org.map...andlerManager  apppool               I     [][OnConnected:646] Enable event monitors(interceptors) on reconnection
10-21 17:25:03.783   32547-32547   C02800/org.map...andlerManager  apppool               I     [][OnConnected:644] Reregister gesture monitors on reconnection
10-21 17:25:03.783   32547-32547   C02800/org.map...andlerManager  apppool               I     [][OnConnected:646] Enable event monitors(interceptors) on reconnection
10-21 17:25:03.783   32547-32547   C02800/org.map...ony/MMIClient  apppool               I     [][StartEventRunner:121] Create event handler, thread name:OS_mmi_EventHdr
10-21 17:25:03.783   32547-32547   C02800/org.map...ony/MMIClient  apppool               I     [][AddFdListener:158] Server was listening
10-21 17:25:03.783   32547-32547   C02800/org.map...utManagerImpl  apppool               I     [][SetWindowInputEventConsumer] leave
10-21 17:25:03.783   32547-32547   C0420C/org.map...mony/WMSEvent  apppool               I     [] AddInputWindow(143): SetWindowInputEventConsumer success, wid:45
10-21 17:25:03.783   32547-32547   C04200/org.map...etonContainer  apppool               E     (82)GetSingleton: can not get OHOS::Rosen::WindowInfoReporter
10-21 17:25:03.783   32547-32547   C01332/org.map...ony/UIAbility  apppool               E     [ui_ability.cpp:267]appRecovery not recovery restart
10-21 17:25:03.784   32547-32825   C02800/org.map...ony/MMIClient  apppool               I     [][SetScheduler:109] enter
10-21 17:25:03.784   32547-32825   C02800/org.map...ony/MMIClient  apppool               I     [][SetScheduler] leave
10-21 17:25:03.784   32547-32547   A00000/org.map...rmony/testTag  apppool               I     Ability onWindowStageCreate
10-21 17:25:03.784   32547-32547   C04200/org.map...JsWindowStage  apppool               I     (87)LoadContent: [NAPI]
10-21 17:25:03.784   32547-32547   C01332/org.map...ony/UIAbility  apppool               I     [js_ui_ability.cpp:1408]end, name: onWindowStageCreate, time: 0
10-21 17:25:03.784   32547-32547   C04202/org.map...rmony/WMSMain  apppool               I     [] GoForeground(159): reason: 0
10-21 17:25:03.784   32547-32547   C0420A/org.map...rmony/WMSLife  apppool               I     [] Show(1186): Window show [name: harmony0, id: 45, type: 1], reason: 0, state:1, requestState:1
10-21 17:25:03.784   32547-32547   C04201/org.map...isplayManager  apppool               W     (634)GetDisplayById: update display from cache, Id: 0
10-21 17:25:03.784   32547-32547   C04201/org.map...isplayManager  apppool               W     (634)GetDisplayById: update display from cache, Id: 0
10-21 17:25:03.784   32547-32547   C04200/org.map...neSessionImpl  apppool               I     (1014)GetSystemSizeLimits: [System SizeLimits] [maxWidth: 6240, minWidth: 1040, maxHeight: 6240, minHeight: 780]
10-21 17:25:03.784   32547-32547   C04208/org.map...ony/WMSLayout  apppool               I     [] UpdateNewSize(4274): Fullscreen window could not update new size, winId: 45
10-21 17:25:03.785   32547-32547   C04217/org.mapl...WMSAttribute  apppool               I     [] IsSystemDensityChanged(5034): windowId: 45, lastDensity: -1.000000, currDensity: 3.250000
10-21 17:25:03.785   32547-32547   C04201/org.map...isplayManager  apppool               W     (634)GetDisplayById: update display from cache, Id: 0
10-21 17:25:03.785   32547-32547   C04208/org.map...ony/WMSLayout  apppool               I     [] UpdateViewportConfig(1214): [rotation,deviceRotation,transformHint,virtualPixelRatio]:[0,0,0,3.250000]
10-21 17:25:03.785   32547-32547   C04200/org.map...owSessionImpl  apppool               W     (1219)UpdateViewportConfig: uiContent is null!
10-21 17:25:03.785   32547-32547   C04200/org.map...neSessionImpl  apppool               I     (4596)UpdateDensityInner: WindowSceneSessionImpl::UpdateDensity [0, 0, 1216, 2688]
10-21 17:25:03.785   32547-32547   C01332/org.map...ony/UIAbility  apppool               I     [ui_ability_impl.cpp:434]Lifecycle:Call
10-21 17:25:03.785   32547-32547   C01406/org.map...mony/OHOS::RS  apppool               I     RSFrameRateLinker::Create id: 139788300582913
10-21 17:25:03.787   32547-32547   C01706/org.map...rameReportExt  apppool               I     RsFrameReportExt:[LoadLibrary] load library success!
10-21 17:25:03.787   32547-32547   C01706/org.map...rameReportExt  apppool               I     RsFrameReportExt:[Init] dlopen libframe_ui_intf.so success!
10-21 17:25:03.788   32547-32805   C04207/org.map...mony/WMSFocus  apppool               I     [] UpdateFocus(1069): Report update focus: 1, id: 45
10-21 17:25:03.789   32547-32547   C01706/org.map...t-FrameUiIntf  apppool               I     [Init]:ret:1, inited:1
10-21 17:25:03.789   32547-32547   C0420A/org.map...rmony/WMSLife  apppool               I     [] Show(1254): Window show success [name:harmony0, id:45, type:1]
10-21 17:25:03.789   32547-32805   C04207/org.map...mony/WMSFocus  apppool               I     [] NotifyHighlightChange(1650): windowId: 45, isHighlight: 1,
10-21 17:25:03.789   32547-32547   C04201/org.map...e.harmony/DMS  apppool               W     [] OnDisplayInfoChange(91): not need notify display info, data is not changed.
10-21 17:25:03.789   32547-32547   C01324/org.map...armony/JsNapi  apppool               W     [napi_common_want.cpp:1131]not wantpram
10-21 17:25:03.789   32547-32547   C01324/org.map...armony/JsNapi  apppool               W     [napi_common_want.cpp:1131]not wantpram
10-21 17:25:03.789   32547-32547   C01324/org.map...armony/JsNapi  apppool               W     [napi_common_want.cpp:1131]not wantpram
10-21 17:25:03.789   32547-32805   C04208/org.map...ony/WMSLayout  apppool               W     [] NotifySingleHandTransformChange(4505): id:45, uiContent is nullptr
10-21 17:25:03.789   32547-32547   A00000/org.map...rmony/testTag  apppool               I     Ability onForeground
10-21 17:25:03.789   32547-32547   C01332/org.map...ony/UIAbility  apppool               I     [js_ui_ability.cpp:1408]end, name: onForeground, time: 0
10-21 17:25:03.790   32547-32547   C0420A/org.map...rmony/WMSLife  apppool               I     [] SetUIContentComplete(4639): persistentId=45
10-21 17:25:03.790   32547-32547   C03900/org.map...e.harmony/Ace  apppool               I     [(-1:-1:undefined)] CreateUIContent.
10-21 17:25:03.790   32547-32547   C03934/org.map...ny/AceUIEvent  apppool               I     [(-1:-1:undefined)] report ace loaded
10-21 17:25:03.790   32547-32547   C01719/org.map....harmony/ffrt  apppool               I     7:QueueHandler:64 construct sq_EventHandler_QUEUE_1 succ, qos[2]
10-21 17:25:03.790   32547-32547   C04707/org.map...y/HaAceEngine  apppool               I     OnAceLoaded end
10-21 17:25:03.790   32547-32827   C057C1/org.map...IPCWorkThread  apppool               I     ThreadHandler 124: proto:0 policy:0 name:OS_IPC_3_32827 invoker:568593280
10-21 17:25:03.791   32547-32547   C02C03/PARAM_WATCHER            apppool               I     [watcher_manager_kits.cpp:172]Add watcher keyPrefix persist.ace.trace.layout.enabled remoteWatcherId 258 success
10-21 17:25:03.791   32547-32547   C02C03/PARAM_WATCHER            apppool               I     [watcher_manager_kits.cpp:172]Add watcher keyPrefix const.security.developermode.state remoteWatcherId 258 success
10-21 17:25:03.791   32547-32547   C02C03/PARAM_WATCHER            apppool               I     [watcher_manager_kits.cpp:172]Add watcher keyPrefix persist.ace.debug.statemgr.enabled remoteWatcherId 258 success
10-21 17:25:03.792   32547-32547   C02C03/PARAM_WATCHER            apppool               I     [watcher_manager_kits.cpp:172]Add watcher keyPrefix persist.ace.debug.boundary.enabled remoteWatcherId 258 success
10-21 17:25:03.792   32547-32547   C02C03/PARAM_WATCHER            apppool               I     [watcher_manager_kits.cpp:172]Add watcher keyPrefix persist.ace.trace.inputevent.enabled remoteWatcherId 258 success
10-21 17:25:03.793   32547-32547   C02C03/PARAM_WATCHER            apppool               I     [watcher_manager_kits.cpp:172]Add watcher keyPrefix persist.ace.performance.monitor.enabled remoteWatcherId 258 success
10-21 17:25:03.793   32547-32547   C0391F/org.map...mony/AceImage  apppool               W     [(-2:-1:undefined)] mkdir cache file path failed.
10-21 17:25:03.793   32547-32547   C03900/org.map...e.harmony/Ace  apppool               I     [(-2:-1:undefined)] Init RenderService UniRender Type:0
