10-28 23:16:31.187   43901-43901   C01332/org.map...ony/UIAbility  pid-43901             E     [ui_ability_impl.cpp:296]hasSaveData_: false
10-28 23:16:31.187   43901-43901   C01332/org.map...ony/UIAbility  pid-43901             W     [js_ui_ability.cpp:863]formatRegex: []
10-28 23:16:31.187   43901-43901   C04202/org.map...rmony/WMSMain  pid-43901             I     [] Init(93): WindowScene with window session!
10-28 23:16:31.187   43901-43901   C04202/org.map...rmony/WMSMain  pid-43901             I     [] Init(103): set isModuleAbilityHookEnd
10-28 23:16:31.193   43901-43901   C01406/org.map...mony/OHOS::RS  pid-43901             I     RSLogManager init log flag: 0x0(0)
10-28 23:16:31.193   43901-43901   C01406/org.map...mony/OHOS::RS  pid-43901             I     RSFrameRateLinker::Create id: 188553359261696
10-28 23:16:31.193   43901-43901   C04202/org.map...rmony/WMSMain  pid-43901             I     [] VsyncStation(53): id 188553359261697 created
10-28 23:16:31.193   43901-43901   C04200/org.map...neSessionImpl  pid-43901             I     (133)WindowSceneSessionImpl: [WMSCom] Constructor
10-28 23:16:31.193   43901-43901   C04200/org.map...e.harmony/WMS  pid-43901             E     [] SetWindowType(1855): set window type permission denied!
10-28 23:16:31.193   43901-43901   C0420A/org.map...rmony/WMSLife  pid-43901             I     [] Create(620): Window Create name:harmony0, state:0, windowmode:0
10-28 23:16:31.194   43901-43901   C0420A/org.map...rmony/WMSLife  pid-43901             I     [] SetDefaultDisplayIdIfNeed(478): Called
10-28 23:16:31.194   43901-43901   C0420A/org.map...rmony/WMSLife  pid-43901             I     [] Create(637): SetIsAbilityHookOff 0
10-28 23:16:31.194   43901-43901   C0420A/org.map...rmony/WMSLife  pid-43901             W     [] IsWindowSessionInvalid(361): already destroyed or not created! id: 0 state_: 0
10-28 23:16:31.194   43901-43901   C04200/org.map...neSessionImpl  pid-43901             W     (3882)[WMSCom]AdjustWindowAnimationFlag failed since session invalid!
10-28 23:16:31.194   43901-43901   C04200/org.map...neSessionImpl  pid-43901             I     (642)Remove window flag WINDOW_FLAG_SHOW_WHEN_LOCKED
10-28 23:16:31.194   43901-43901   C0420A/org.map...rmony/WMSLife  pid-43901             I     [] Connect(497): Called
10-28 23:16:31.194   43901-43984   C0421D/org.map...y/WMSRotation  pid-43901             I     [] SetCurrentRotation(4824): currentRotation: 0
10-28 23:16:31.196   43901-43901   C04208/org.map...ony/WMSLayout  pid-43901             I     [] Connect(281): updateRect when connect.preRect:[0,0,1216,2688]rect:[0,0,1216,2688]
10-28 23:16:31.196   43901-43901   C0420A/org.map...rmony/WMSLife  pid-43901             I     [] Connect(515): Window Connect [name:harmony0, id:792, type:1], ret:0
10-28 23:16:31.196   43901-43984   C04208/org.map...ony/WMSLayout  pid-43901             I     [] UpdateRect(767): [0 0 1216 2688], preRect:[0 0 0 0], reason:0, hasRSTransaction:0,duration:400, [name:harmony0, id:792]
10-28 23:16:31.196   43901-43984   C04208/org.map...ony/WMSLayout  pid-43901             W     [] NotifySingleHandTransformChange(4505): id:792, uiContent is nullptr
10-28 23:16:31.197   43901-43901   C0420A/org.map...rmony/WMSLife  pid-43901             I     [] MakeSubOrDialogWindowDragableAndMoveble(278): Called 792.
10-28 23:16:31.197   43901-43901   C04201/org.map...isplayManager  pid-43901             W     (634)GetDisplayById: update display from cache, Id: 0
10-28 23:16:31.198   43901-43901   C04200/org.map...neSessionImpl  pid-43901             I     (1014)GetSystemSizeLimits: [System SizeLimits] [maxWidth: 6240, minWidth: 1040, maxHeight: 6240, minHeight: 780]
10-28 23:16:31.198   43901-43901   C04208/org.map...ony/WMSLayout  pid-43901             I     [] GetConfigurationFromAbilityInfo(961): winId: 792, windowModeSupportType: 15
10-28 23:16:31.198   43901-43901   C0420F/org.map...ny/WMSRecover  pid-43901             I     [] RegisterSessionRecoverCallbackFunc(328): persistentId = 792
10-28 23:16:31.198   43901-43901   C04209/org.map...rmony/WMSImms  pid-43901             I     [] UpdateDefaultStatusBarColor(721): winId: 792, type: 1, hasDarkRes: 0, colorMode: light
10-28 23:16:31.198   43901-43901   C04209/org.map...rmony/WMSImms  pid-43901             I     [] SetSpecificBarProperty(2255): windowId:792 harmony0 type:2108, 1 ffffff ff000000 0 4
10-28 23:16:31.198   43901-43901   C04200/org.map...e.harmony/WMS  pid-43901             I     [] IsMainHandlerAvailable(369): id:792, isAvailable:1
10-28 23:16:31.198   43901-43901   C04200/org.map...e.harmony/WMS  pid-43901             I     [] IsMainHandlerAvailable(369): id:792, isAvailable:1
10-28 23:16:31.199   43901-43901   C02800/org.map...utManagerImpl  pid-43901             I     [][SetWindowInputEventConsumer:342] enter
10-28 23:16:31.199   43901-43901   C02801/org.map...tConnectProxy  pid-43901             I     [][MultimodalInputConnectProxy:98] Construct MMI proxy
10-28 23:16:31.199   43901-43901   C02801/org.map...onnectManager  pid-43901             I     [][ConnectMultimodalInputService:546] Get multimodalinput service successful
10-28 23:16:31.200   43901-43901   C02800/org.map...ony/MMIClient  pid-43901             I     [][OnConnected:256] Connection to server succeeded, fd:66
10-28 23:16:31.200   43901-43901   C02800/org.map...utManagerImpl  pid-43901             I     [][OnConnected:1492] enter
10-28 23:16:31.200   43901-43901   C02800/org.map...utManagerImpl  pid-43901             I     [][ReAddInputEventFilter:1662] enter
10-28 23:16:31.200   43901-43901   C02800/org.map...utManagerImpl  pid-43901             I     [][ReAddInputEventFilter] leave
10-28 23:16:31.200   43901-43901   C02800/org.map...utManagerImpl  pid-43901             I     [][PackEnhanceConfig:618] enter
10-28 23:16:31.200   43901-43901   C02800/org.map...utManagerImpl  pid-43901             E     [][PackEnhanceConfig:619] CHKPR(enhanceCfg_) is null, return value is -1
10-28 23:16:31.200   43901-43901   C02800/org.map...utManagerImpl  pid-43901             I     [][PackEnhanceConfig] leave
10-28 23:16:31.200   43901-43901   C02800/org.map...utManagerImpl  pid-43901             E     [][PrintEnhanceConfig:881] CHKPV(enhanceCfg_) is null
10-28 23:16:31.200   43901-43901   C02800/org.map...utManagerImpl  pid-43901             I     [][OnConnected] leave
10-28 23:16:31.200   43901-43901   C02800/org.map...andlerManager  pid-43901             I     [][OnConnected:644] Reregister gesture monitors on reconnection
10-28 23:16:31.200   43901-43901   C02800/org.map...andlerManager  pid-43901             I     [][OnConnected:646] Enable event monitors(interceptors) on reconnection
10-28 23:16:31.200   43901-43901   C02800/org.map...andlerManager  pid-43901             I     [][OnConnected:644] Reregister gesture monitors on reconnection
10-28 23:16:31.200   43901-43901   C02800/org.map...andlerManager  pid-43901             I     [][OnConnected:646] Enable event monitors(interceptors) on reconnection
10-28 23:16:31.200   43901-43901   C02800/org.map...ony/MMIClient  pid-43901             I     [][StartEventRunner:121] Create event handler, thread name:OS_mmi_EventHdr
10-28 23:16:31.200   43901-43901   C02800/org.map...ony/MMIClient  pid-43901             I     [][AddFdListener:158] Server was listening
10-28 23:16:31.200   43901-43901   C02800/org.map...utManagerImpl  pid-43901             I     [][SetWindowInputEventConsumer] leave
10-28 23:16:31.200   43901-43901   C0420C/org.map...mony/WMSEvent  pid-43901             I     [] AddInputWindow(143): SetWindowInputEventConsumer success, wid:792
10-28 23:16:31.200   43901-43901   C04200/org.map...etonContainer  pid-43901             E     (82)GetSingleton: can not get OHOS::Rosen::WindowInfoReporter
10-28 23:16:31.200   43901-43901   C01332/org.map...ony/UIAbility  pid-43901             E     [ui_ability.cpp:267]appRecovery not recovery restart
10-28 23:16:31.201   43901-44004   C02800/org.map...ony/MMIClient  pid-43901             I     [][SetScheduler:109] enter
10-28 23:16:31.201   43901-43901   A00000/org.map...rmony/testTag  pid-43901             I     Ability onWindowStageCreate
10-28 23:16:31.201   43901-43901   C04200/org.map...JsWindowStage  pid-43901             I     (87)LoadContent: [NAPI]
10-28 23:16:31.201   43901-44004   C02800/org.map...ony/MMIClient  pid-43901             I     [][SetScheduler] leave
10-28 23:16:31.201   43901-43901   C01332/org.map...ony/UIAbility  pid-43901             I     [js_ui_ability.cpp:1408]end, name: onWindowStageCreate, time: 0
10-28 23:16:31.201   43901-43901   C04202/org.map...rmony/WMSMain  pid-43901             I     [] GoForeground(159): reason: 0
10-28 23:16:31.201   43901-43901   C0420A/org.map...rmony/WMSLife  pid-43901             I     [] Show(1186): Window show [name: harmony0, id: 792, type: 1], reason: 0, state:1, requestState:1
10-28 23:16:31.201   43901-43901   C04201/org.map...isplayManager  pid-43901             W     (634)GetDisplayById: update display from cache, Id: 0
10-28 23:16:31.201   43901-43901   C04201/org.map...isplayManager  pid-43901             W     (634)GetDisplayById: update display from cache, Id: 0
10-28 23:16:31.202   43901-43901   C04200/org.map...neSessionImpl  pid-43901             I     (1014)GetSystemSizeLimits: [System SizeLimits] [maxWidth: 6240, minWidth: 1040, maxHeight: 6240, minHeight: 780]
10-28 23:16:31.202   43901-43901   C04208/org.map...ony/WMSLayout  pid-43901             I     [] UpdateNewSize(4274): Fullscreen window could not update new size, winId: 792
10-28 23:16:31.202   43901-43901   C04217/org.mapl...WMSAttribute  pid-43901             I     [] IsSystemDensityChanged(5034): windowId: 792, lastDensity: -1.000000, currDensity: 3.250000
10-28 23:16:31.202   43901-43901   C04201/org.map...isplayManager  pid-43901             W     (634)GetDisplayById: update display from cache, Id: 0
10-28 23:16:31.202   43901-43901   C04208/org.map...ony/WMSLayout  pid-43901             I     [] UpdateViewportConfig(1214): [rotation,deviceRotation,transformHint,virtualPixelRatio]:[0,0,0,3.250000]
10-28 23:16:31.202   43901-43901   C04200/org.map...owSessionImpl  pid-43901             W     (1219)UpdateViewportConfig: uiContent is null!
10-28 23:16:31.202   43901-43901   C04200/org.map...neSessionImpl  pid-43901             I     (4596)UpdateDensityInner: WindowSceneSessionImpl::UpdateDensity [0, 0, 1216, 2688]
10-28 23:16:31.202   43901-43901   C01332/org.map...ony/UIAbility  pid-43901             I     [ui_ability_impl.cpp:434]Lifecycle:Call
10-28 23:16:31.203   43901-43901   C01406/org.map...mony/OHOS::RS  pid-43901             I     RSFrameRateLinker::Create id: 188553359261697
10-28 23:16:31.205   43901-43901   C01706/org.map...rameReportExt  pid-43901             I     RsFrameReportExt:[LoadLibrary] load library success!
10-28 23:16:31.205   43901-43901   C01706/org.map...rameReportExt  pid-43901             I     RsFrameReportExt:[Init] dlopen libframe_ui_intf.so success!
10-28 23:16:31.205   43901-43984   C04207/org.map...mony/WMSFocus  pid-43901             I     [] UpdateFocus(1069): Report update focus: 1, id: 792
10-28 23:16:31.206   43901-43984   C04207/org.map...mony/WMSFocus  pid-43901             I     [] NotifyHighlightChange(1650): windowId: 792, isHighlight: 1,
10-28 23:16:31.206   43901-43984   C04208/org.map...ony/WMSLayout  pid-43901             W     [] NotifySingleHandTransformChange(4505): id:792, uiContent is nullptr
10-28 23:16:31.206   43901-43984   C04200/org.map...owSessionImpl  pid-43901             I     (4483)NotifyTransformChange: NotifyWindowStatusChange
10-28 23:16:31.206   43901-43901   C01706/org.map...t-FrameUiIntf  pid-43901             I     [Init]:ret:1, inited:1
10-28 23:16:31.207   43901-43901   C0420A/org.map...rmony/WMSLife  pid-43901             I     [] Show(1254): Window show success [name:harmony0, id:792, type:1]
10-28 23:16:31.207   43901-43901   C04201/org.map...e.harmony/DMS  pid-43901             W     [] OnDisplayInfoChange(91): not need notify display info, data is not changed.
10-28 23:16:31.207   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.207   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.207   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.207   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.207   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.207   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.207   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.207   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.207   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.207   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
