10-20 11:13:09.127   24748-24748   A00000/testTag                  pid-24748             I     Ability onCreate
10-20 11:13:09.127   24748-24748   C01332/UIAbility                pid-24748             I     [js_ui_ability.cpp:1630]end, name: onCreate, time: 0
10-20 11:13:09.127   24748-24748   C01332/UIAbility                pid-24748             E     [ui_ability_impl.cpp:301]hasSaveData_: false
10-20 11:13:09.129   24748-24748   C01332/UIAbility                pid-24748             W     [js_ui_ability.cpp:932]formatRegex: []
10-20 11:13:09.129   24748-24748   C04202/WMSMain                  pid-24748             I     [] Init(93): WindowScene with window session!
10-20 11:13:09.129   24748-24748   C04202/WMSMain                  pid-24748             I     [] Init(103): set isModuleAbilityHookEnd
10-20 11:13:09.130   24748-24748   C01406/OHOS::RS                 pid-24748             I     RSLogManager init log flag: 0x0(0)
10-20 11:13:09.130   24748-24748   C01406/OHOS::RS                 pid-24748             I     RSFrameRateLinker::Create id: 106291850641408
10-20 11:13:09.130   24748-24748   C04202/WMSMain                  pid-24748             I     [] VsyncStation(55): id 106291850641409 created
10-20 11:13:09.130   24748-24748   C04200/WindowSceneSessionImpl   pid-24748             I     (147)WindowSceneSessionImpl: [WMSCom] Constructor harmony0
10-20 11:13:09.130   24748-24748   C04200/WMS                      pid-24748             E     [] SetWindowType(2253): permission denied!
10-20 11:13:09.130   24748-24748   C0420a/WMSLife                  pid-24748             I     [] Create(580): Window Create name:harmony0, state:0, mode:0
10-20 11:13:09.131   24748-24748   C0420a/WMSLife                  pid-24748             I     [] Create(594): SetIsAbilityHookOff 0
10-20 11:13:09.131   24748-24748   C0420a/WMSLife                  pid-24748             W     [] IsWindowSessionInvalid(406): already destroyed or not created! id: 0 state_: 0
10-20 11:13:09.131   24748-24748   C04200/WindowSceneSessionImpl   pid-24748             W     (4570)AdjustWindowAnimationFlag: session invalid!
10-20 11:13:09.131   24748-24748   C04200/WindowSceneSessionImpl   pid-24748             I     (599)Remove window flag WINDOW_FLAG_SHOW_WHEN_LOCKED
10-20 11:13:09.131   24748-24748   C0420a/WMSLife                  pid-24748             I     [] Connect(556): in
10-20 11:13:09.131   24748-24748   C04200/WMS                      pid-24748             I     [] GetContext(1925): name:harmony0, id:0
10-20 11:13:09.131   24748-24921   C0421d/WMSRotation              pid-24748             I     [] SetCurrentRotation(6018): currentRotation: 0
10-20 11:13:09.132   24748-24921   C04208/WMSLayout                pid-24748             I     [] UpdateRect(845): [0 0 1260 2720], preRect:[0 0 0 0], reason:0, hasRSTransaction:0, duration:400, [name:harmony0, id:0], clientDisplayId: 0
10-20 11:13:09.132   24748-24921   C04208/WMSLayout                pid-24748             W     [] NotifySingleHandTransformChange(5600): id:0, uiContent is nullptr
10-20 11:13:09.132   24748-24748   C04208/WMSLayout                pid-24748             I     [] Connect(307): updateRect when connect.preRect:[0,0,1260,2720]rect:[0,0,1260,2720]
10-20 11:13:09.132   24748-24748   C0420a/WMSLife                  pid-24748             I     [] Connect(574): Window Connect [name:harmony0, id:35, type:1], ret:0
10-20 11:13:09.132   24748-24748   C04218/WMSPc                    pid-24748             I     [] MakeSubOrDialogWindowDragableAndMoveble(316): Called 35.
10-20 11:13:09.133   24748-24748   C04200/WMS                      pid-24748             I     [] GetContext(1925): name:harmony0, id:35
10-20 11:13:09.134   24748-24748   C04208/WMSLayout                pid-24748             I     [] GetSystemSizeLimits(1222): maxWidth: 6240, minWidth: 1040, maxHeight: 6240, minHeight: 780, maxFloatingWindowSize: 1920, vpr: 3.250000
10-20 11:13:09.134   24748-24748   C0421a/WMSLayoutPc              pid-24748             I     [] GetConfigurationFromAbilityInfo(1159): winId: 35, windowModeSupportType: 15
10-20 11:13:09.135   24748-24748   C0420f/WMSRecover               pid-24748             I     [] RegisterSessionRecoverCallbackFunc(346): persistentId=35
10-20 11:13:09.135   24748-24748   C04209/WMSImms                  pid-24748             I     [] UpdateDefaultStatusBarColor(851): win 35 type 1 hasDarkRes 0 colorMode light
10-20 11:13:09.135   24748-24748   C04209/WMSImms                  pid-24748             I     [] SetSpecificBarProperty(2678): win [35 harmony0] type 2108 1 ffffff ff000000 0 4
10-20 11:13:09.135   24748-24748   C04200/WMS                      pid-24748             I     [] IsMainHandlerAvailable(414): id:35, isAvailable:1
10-20 11:13:09.135   24748-24748   C04200/WMS                      pid-24748             I     [] IsMainHandlerAvailable(414): id:35, isAvailable:1
10-20 11:13:09.135   24748-24748   C02800/InputManagerImpl         pid-24748             I     [][SetWindowInputEventConsumer:368] enter
10-20 11:13:09.136   24748-24748   C02801/Multimo...tConnectProxy  pid-24748             I     [][MultimodalInputConnectProxy:92] Construct MMI proxy
10-20 11:13:09.136   24748-24748   C02801/Multimo...onnectManager  pid-24748             I     [][ConnectMultimodalInputService:590] Get multimodalinput service successful
10-20 11:13:09.136   24748-24748   C02800/MMIClient                pid-24748             I     [][OnConnected:264] Connection to server succeeded, fd:69
10-20 11:13:09.136   24748-24748   C02800/MMIClient                pid-24748             I     [][AddFdListener:163] Server was listening
10-20 11:13:09.136   24748-24748   C02800/MMIClient                pid-24748             I     [][StartEventRunner:124] reuse current event handler, thread name:
10-20 11:13:09.136   24748-24748   C02800/MMIClient                pid-24748             I     [][StartEventRunner:127] File fd is in listening
10-20 11:13:09.136   24748-24748   C02800/InputManagerImpl         pid-24748             I     [][SetWindowInputEventConsumer] leave
10-20 11:13:09.136   24748-24748   C0420c/WMSEvent                 pid-24748             I     [] AddInputWindow(184): SetWindowInputEventConsumer success, wid:35
10-20 11:13:09.136   24748-24748   C0420c/WMSEvent                 pid-24748             I     [] LoadGameController(132): in
10-20 11:13:09.137   24748-24748   C04732/GameController           pid-24748             I     [(RegisterEntryModule:26)]begin load gamecontroller_event
10-20 11:13:09.137   24748-24748   C04732/GameController           pid-24748             I     [(SubscribeEvent:24)]SubscribePublicEvent success
10-20 11:13:09.137   24748-24748   C0420c/WMSEvent                 pid-24748             I     [] LoadGameController(136): dlopen GameController success
10-20 11:13:09.137   24748-24748   C04217/WMSAttribute             pid-24748             I     [] ConnectServer(68): start connect
10-20 11:13:09.137   24748-24748   C04217/WMSAttribute             pid-24748             I     [] ConnectServer(93): end connect
10-20 11:13:09.137   24748-24748   C04217/WMSAttribute             pid-24748             W     [] RegisterGetWMSWindowListCallback(111): callback has registered
10-20 11:13:09.137   24748-24748   C04217/WMSAttribute             pid-24748             I     [] RegisterGetWMSWindowListCallback(113): winId: 35
10-20 11:13:09.137   24748-24748   C04200/SingletonContainer       pid-24748             E     (82)GetSingleton: can not get OHOS::Rosen::WindowInfoReporter
10-20 11:13:09.137   24748-24748   C01332/UIAbility                pid-24748             E     [ui_ability.cpp:324]appRecovery not recovery restart
10-20 11:13:09.138   24748-24748   C01332/UIAbility                pid-24748             I     [js_ui_ability.cpp:1585]JsUIAbility call js, name: onWindowStageCreate
10-20 11:13:09.138   24748-24748   A00000/testTag                  pid-24748             I     Ability onWindowStageCreate
10-20 11:13:09.138   24748-24748   C04200/JsWindowStage            pid-24748             I     (109)LoadContent: [NAPI]
10-20 11:13:09.138   24748-24748   C01332/UIAbility                pid-24748             I     [js_ui_ability.cpp:1630]end, name: onWindowStageCreate, time: 1
10-20 11:13:09.138   24748-24748   C04202/WMSMain                  pid-24748             I     [] GoForeground(159): reason: 4
10-20 11:13:09.138   24748-24748   C0420a/WMSLife                  pid-24748             I     [] Show(1396): Window show [name: harmony0, id: 35, type: 1], reason: 4, state:1, requestState:1
10-20 11:13:09.138   24748-24748   C04208/WMSLayout                pid-24748             I     [] GetSystemSizeLimits(1222): maxWidth: 6240, minWidth: 1040, maxHeight: 6240, minHeight: 780, maxFloatingWindowSize: 1920, vpr: 3.250000
10-20 11:13:09.138   24748-24748   C04208/WMSLayout                pid-24748             I     [] UpdateNewSize(4967): fullscreen or compatible mode could not update new size, Id: 35
10-20 11:13:09.138   24748-24748   C04217/WMSAttribute             pid-24748             I     [] IsSystemDensityChanged(5830): windowId: 35, lastDensity: -1.000000, currDensity: 3.250000
10-20 11:13:09.138   24748-24748   C04200/WMS                      pid-24748             I     [] GetContext(1925): name:harmony0, id:35
10-20 11:13:09.138   24748-24748   C04200/WindowSessionImpl        pid-24748             W     (1414)UpdateViewportConfig: uiContent is null!
10-20 11:13:09.139   24748-24748   C01332/UIAbility                pid-24748             I     [ui_ability_impl.cpp:426]wnd call, AfterForeground
10-20 11:13:09.139   24748-24748   C01406/OHOS::RS                 pid-24748             I     RSFrameRateLinker::Create id: 106291850641409
10-20 11:13:09.139   24748-24913   C04207/WMSFocus                 pid-24748             I     [] UpdateFocus(1237): focus: 1, id: 35
10-20 11:13:09.139   24748-24913   C04207/WMSFocus                 pid-24748             I     [] NotifyHighlightChange(1995): windowId: 35, isHighlight: 1,
10-20 11:13:09.140   24748-24913   C04208/WMSLayout                pid-24748             W     [] NotifySingleHandTransformChange(5600): id:35, uiContent is nullptr
10-20 11:13:09.140   24748-24956   C057c1/IPCWorkThread            pid-24748             I     ThreadHandler 119: proto:0 policy:0 name:OS_IPC_3_24956 invoker:1871169024
10-20 11:13:09.147   24748-24748   C01706/rtg_interface            pid-24748             I     rtg Open fail, errno = 2(No such file or directory), dev = /proc/self/sched_rtg_ctrl
10-20 11:13:09.147   24748-24748   C01706/RsFrameReportExt         pid-24748             I     RsFrameReportExt:[LoadLibrary] load library success!
