10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.134   34465-34465   A00000/org.map...rmony/testTag  pid-34465             I     Ability onCreate
10-26 10:19:16.134   34465-34465   A00000/org.map...rmony/testTag  pid-34465             I     Cleaning up global state
10-26 10:19:16.134   34465-34465   C01332/org.map...ony/UIAbility  pid-34465             I     [js_ui_ability.cpp:1408]end, name: onCreate, time: 0
10-26 10:19:16.134   34465-34465   C01332/org.map...ony/UIAbility  pid-34465             E     [ui_ability_impl.cpp:296]hasSaveData_: false
10-26 10:19:16.134   34465-34465   C01332/org.map...ony/UIAbility  pid-34465             W     [js_ui_ability.cpp:863]formatRegex: []
10-26 10:19:16.134   34465-34465   C04202/org.map...rmony/WMSMain  pid-34465             I     [] Init(93): WindowScene with window session!
10-26 10:19:16.134   34465-34465   C04202/org.map...rmony/WMSMain  pid-34465             I     [] Init(103): set isModuleAbilityHookEnd
10-26 10:19:16.135   34465-34465   C01406/org.map...mony/OHOS::RS  pid-34465             I     RSLogManager init log flag: 0x0(0)
10-26 10:19:16.135   34465-34465   C01406/org.map...mony/OHOS::RS  pid-34465             I     RSFrameRateLinker::Create id: 148026047856640
10-26 10:19:16.135   34465-34465   C04202/org.map...rmony/WMSMain  pid-34465             I     [] VsyncStation(53): id 148026047856641 created
10-26 10:19:16.135   34465-34465   C04200/org.map...neSessionImpl  pid-34465             I     (133)WindowSceneSessionImpl: [WMSCom] Constructor
10-26 10:19:16.135   34465-34465   C04200/org.map...e.harmony/WMS  pid-34465             E     [] SetWindowType(1855): set window type permission denied!
10-26 10:19:16.135   34465-34465   C0420A/org.map...rmony/WMSLife  pid-34465             I     [] Create(620): Window Create name:harmony0, state:0, windowmode:0
10-26 10:19:16.136   34465-34465   C0420A/org.map...rmony/WMSLife  pid-34465             I     [] SetDefaultDisplayIdIfNeed(478): Called
10-26 10:19:16.136   34465-34465   C0420A/org.map...rmony/WMSLife  pid-34465             I     [] Create(637): SetIsAbilityHookOff 0
10-26 10:19:16.136   34465-34465   C0420A/org.map...rmony/WMSLife  pid-34465             W     [] IsWindowSessionInvalid(361): already destroyed or not created! id: 0 state_: 0
10-26 10:19:16.136   34465-34465   C04200/org.map...neSessionImpl  pid-34465             W     (3882)[WMSCom]AdjustWindowAnimationFlag failed since session invalid!
10-26 10:19:16.136   34465-34465   C04200/org.map...neSessionImpl  pid-34465             I     (642)Remove window flag WINDOW_FLAG_SHOW_WHEN_LOCKED
10-26 10:19:16.136   34465-34465   C0420A/org.map...rmony/WMSLife  pid-34465             I     [] Connect(497): Called
10-26 10:19:16.137   34465-34584   C0421D/org.map...y/WMSRotation  pid-34465             I     [] SetCurrentRotation(4824): currentRotation: 0
10-26 10:19:16.137   34465-34584   C04208/org.map...ony/WMSLayout  pid-34465             I     [] UpdateRect(767): [0 0 1216 2688], preRect:[0 0 0 0], reason:0, hasRSTransaction:0,duration:400, [name:harmony0, id:0]
10-26 10:19:16.138   34465-34465   C04208/org.map...ony/WMSLayout  pid-34465             I     [] Connect(281): updateRect when connect.preRect:[0,0,1216,2688]rect:[0,0,1216,2688]
10-26 10:19:16.138   34465-34465   C0420A/org.map...rmony/WMSLife  pid-34465             I     [] Connect(515): Window Connect [name:harmony0, id:410, type:1], ret:0
10-26 10:19:16.138   34465-34584   C04208/org.map...ony/WMSLayout  pid-34465             W     [] NotifySingleHandTransformChange(4505): id:410, uiContent is nullptr
10-26 10:19:16.139   34465-34465   C0420A/org.map...rmony/WMSLife  pid-34465             I     [] MakeSubOrDialogWindowDragableAndMoveble(278): Called 410.
10-26 10:19:16.140   34465-34465   C04201/org.map...isplayManager  pid-34465             W     (634)GetDisplayById: update display from cache, Id: 0
10-26 10:19:16.140   34465-34465   C04200/org.map...neSessionImpl  pid-34465             I     (1014)GetSystemSizeLimits: [System SizeLimits] [maxWidth: 6240, minWidth: 1040, maxHeight: 6240, minHeight: 780]
10-26 10:19:16.140   34465-34465   C04208/org.map...ony/WMSLayout  pid-34465             I     [] GetConfigurationFromAbilityInfo(961): winId: 410, windowModeSupportType: 15
10-26 10:19:16.140   34465-34465   C0420F/org.map...ny/WMSRecover  pid-34465             I     [] RegisterSessionRecoverCallbackFunc(328): persistentId = 410
10-26 10:19:16.140   34465-34465   C04209/org.map...rmony/WMSImms  pid-34465             I     [] UpdateDefaultStatusBarColor(721): winId: 410, type: 1, hasDarkRes: 0, colorMode: light
10-26 10:19:16.140   34465-34465   C04209/org.map...rmony/WMSImms  pid-34465             I     [] SetSpecificBarProperty(2255): windowId:410 harmony0 type:2108, 1 ffffff ff000000 0 4
10-26 10:19:16.141   34465-34465   C04200/org.map...e.harmony/WMS  pid-34465             I     [] IsMainHandlerAvailable(369): id:410, isAvailable:1
10-26 10:19:16.141   34465-34465   C04200/org.map...e.harmony/WMS  pid-34465             I     [] IsMainHandlerAvailable(369): id:410, isAvailable:1
10-26 10:19:16.141   34465-34465   C02800/org.map...utManagerImpl  pid-34465             I     [][SetWindowInputEventConsumer:342] enter
10-26 10:19:16.141   34465-34465   C02801/org.map...tConnectProxy  pid-34465             I     [][MultimodalInputConnectProxy:98] Construct MMI proxy
10-26 10:19:16.143   34465-34465   C02801/org.map...onnectManager  pid-34465             I     [][ConnectMultimodalInputService:546] Get multimodalinput service successful
10-26 10:19:16.143   34465-34465   C02800/org.map...ony/MMIClient  pid-34465             I     [][OnConnected:256] Connection to server succeeded, fd:67
10-26 10:19:16.143   34465-34465   C02800/org.map...utManagerImpl  pid-34465             I     [][OnConnected:1492] enter
10-26 10:19:16.143   34465-34465   C02800/org.map...utManagerImpl  pid-34465             I     [][ReAddInputEventFilter:1662] enter
10-26 10:19:16.143   34465-34465   C02800/org.map...utManagerImpl  pid-34465             I     [][ReAddInputEventFilter] leave
10-26 10:19:16.143   34465-34465   C02800/org.map...utManagerImpl  pid-34465             I     [][PackEnhanceConfig:618] enter
