10-21 17:51:31.698   52749-53016   C02C03/PARAM_WATCHER            org.maplibre.harmony  I     [watcher_manager_kits.cpp:172]Add watcher keyPrefix persist.hdc.jdwp remoteWatcherId 287 success
10-21 17:51:31.698   52749-53016   C02D13/org.map...rmony/HDC_LOG  org.maplibre.harmony  I     AddWatchHdcdJdwp rc:0
10-21 17:51:31.699   52749-52749   C01332/org.map...ony/UIAbility  org.maplibre.harmony  I     [ui_ability_thread.cpp:240]Lifecycle:name MaplibreAbility
10-21 17:51:31.699   52749-52749   C01332/org.map...ony/UIAbility  org.maplibre.harmony  E     [ui_ability.cpp:513]appRecovery not recovery restart
10-21 17:51:31.699   52749-52749   C04201/org.map...isplayManager  org.maplibre.harmony  I     (845)AddDisplayIdFromAms: abilityToken and display[0] has been added.
10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
10-21 17:51:31.700   52749-52749   C01324/org.map...armony/JsNapi  org.maplibre.harmony  W     [napi_common_want.cpp:1131]not wantpram
